ContractReference	EYAtBSD	AmortizedAPAtBSD	UnamortizedAPAtBSD	AdditionalPaymentID	AsOfAmortizationAdjustment	AsOfAmortizationAdjustmentDate	IASError	ImpairmentEffectiveDate	ImpairmentBucket	ImpairmentApproach	12mEL	LifetimeEL	LossAllowance
SYCTAHO2_BINTG_00001_I65346	7.981986087709853	6236.806088818078900	3763.193911181921100	SYCTAHXJ				<EMPTY>					
SYCTAIS8_BINTG_00002_I65346	6.619306140024504	1248.582738911425600	751.417261088574380	SYCTAJC3				<EMPTY>					
SYCTAHO2_BINTG_00002_I65346	6.619260973688387	1248.711399750011000	751.288600249989030	SYCTAS97				<EMPTY>					
SYCTAHO2_BINTG_00002_I65346	7.655309035810277	6238.281818672008700	3761.718181327991300	SYCTAHZY				<EMPTY>					
SYCTAIS8_BINTG_HDSEL_I65346	6.619306140024504	1123.724479734432000	676.275520265568050	SYCTAJC5				<EMPTY>					
SYCTAHO2_BINTG_HDSEL_I65346	6.619260973688387	1123.843259774847000	676.156740225153040	SYCTAS99				<EMPTY>					
SYCTAHO2_BINTG_HDSEL_I65346	6.362514353423499	-0.027151827467605	0.027151827467605	SYCTAHY5				<EMPTY>					
SYCTAIS8_BINTG_LOCOM_I65346	6.619306140024504	874.007912333281750	525.992087666718250	SYCTAJC6				<EMPTY>					
SYCTAHO2_BINTG_LOCOM_I65346	6.619260972029870	874.096974190715740	525.903025809284260	SYCTAS9A				<EMPTY>					
SYCTAHO2_BINTG_LOCOM_I65346	8.216187732913349	6235.738031488303000	3764.261968511697000	SYCTAHYV				<EMPTY>					
SYCTAIS8_BINTG_MTMS_I65346	6.619306140024504	1997.732392067946400	1202.267607932053600	SYCTAJC2				<EMPTY>					
SYCTAHO2_BINTG_MTMS_I65346	6.619260973688387	1997.940239599831300	1202.059760400168700	SYCTAS96				<EMPTY>					
SYCTAHO2_BINTG_MTMS_I65346	6.362514353423499	-0.051603248883112	0.051603248883112	SYCTAHZS				<EMPTY>					
SYCTAJCY_BINTG_00001_I65346	8.093891706385076	-1558.040365444887400	-441.959634555112640	SYCTAJVD				<EMPTY>					
SYCTAHR4_BINTG_00001_I65346	8.093960721558469	-1558.131600424107100	-441.868399575892910	SYCTASDQ				<EMPTY>					
SYCTAHR4_BINTG_00001_I65346	6.809428690179608	-7787.145776278963200	-2212.854223721036800	SYCTAI0O				<EMPTY>					
SYCTAJCY_BINTG_00002_I65346	8.093891706385076	-1869.648461496923100	-530.351538503076880	SYCTAJVH				<EMPTY>					
SYCTAHR4_BINTG_00002_I65346	8.093960721558469	-1869.761920508928600	-530.238079491071400	SYCTASDU				<EMPTY>					
SYCTAHR4_BINTG_00002_I65346	7.075337334664064	-7786.754125095438200	-2213.245874904561800	SYCTAI1F				<EMPTY>					
SYCTAJCY_BINTG_HDSEL_I65346	8.093891706385076	-1402.236346122808800	-397.763653877191250	SYCTAJVE				<EMPTY>					
SYCTAHR4_BINTG_HDSEL_I65346	8.093960723263184	-1402.321433003991800	-397.678566996008160	SYCTASDR				<EMPTY>					
SYCTAHR4_BINTG_HDSEL_I65346	8.418227718636667	-1.467016181675717	1.467016181675717	SYCTAI0V				<EMPTY>					
SYCTAJCY_BINTG_LOCOM_I65346	8.093891706385076	-1713.844442174844500	-486.155557825155480	SYCTAJVG				<EMPTY>					
SYCTAHR4_BINTG_LOCOM_I65346	8.093960721558469	-1713.951760466750800	-486.048239533249220	SYCTASDT				<EMPTY>					
SYCTAHR4_BINTG_LOCOM_I65346	6.954360294036801	-7786.922269658725800	-2213.077730341274200	SYCTAI12				<EMPTY>					
SYCTAJCY_BINTG_MTMS_I65346	8.093891706385076	-1246.432326800497300	-353.567673199502680	SYCTAJVF				<EMPTY>					
SYCTAHR4_BINTG_MTMS_I65346	8.093960723263184	-1246.511273781377900	-353.488726218622110	SYCTASDS				<EMPTY>					
SYCTAHR4_BINTG_MTMS_I65346	8.418227718636667	-1.307347716838194	1.307347716838194	SYCTAI1B				<EMPTY>					
JQCXZDJX_BINTG_00001_I65346		166.666666666666660	1833.333333333333300	JQCXZDY4			<20150723>:SimpleEY@OD: Unable to compute IRR	<EMPTY>					
Y4CXZ0PK_BINTG_00001_I65346	9.650949814282290	215.421191960573200	9784.578808039426800	Y4CXZ15W				<EMPTY>					
Y4CXZ0PK_BINTG_00001_I65346	9.550678378211069	107.154994266573340	8892.845005733426700	36CXZHL9				<EMPTY>					
SYCTIC27_BINTG_00001_I65346	8.230895921466125	-1666.670004000188800	0.000004000188710	SYCTICIW				<EMPTY>					
SYCTIBOE_BINTG_00001_I65346	11.307764409093732	10000.000007099472000	-0.000007099471986	SYCTIBX0				<EMPTY>					
SYCTIC27_BINTG_00002_I65346	8.230897862927277	-1333.330008137971200	0.000008137971236	SYCTICIZ				<EMPTY>					
SYCTIC27_BINTG_00003_I65346	8.230897401488436	-2333.330007790587800	0.000007790587915	SYCTICIX				<EMPTY>					
SYCTIC27_BINTG_HDSEL_I65346	8.230896782818597	-1499.999999478925000	-0.000000521074980	SYCTICIY				<EMPTY>					
SYCTIC27_BINTG_LOCOM_I65346	8.230896782818597	-1999.999999305233400	-0.000000694766641	SYCTICIV				<EMPTY>					
SYCTIBOE_BINTG_LOCOM_I65346	6.520422278235490	-9999.999994989484500	-0.000005010515451	SYCTIBXP				<EMPTY>					
SYCTIC27_BINTG_MTMS_I65346	8.230895552315058	-1166.670000219717600	0.000000219717549	SYCTICIU				<EMPTY>					
SYCTICO4_BINTG_00001_I65346	3.286227868729688	9999.999999295920100	0.000000704079866	SYCTID06				<EMPTY>					
SYCTIBPJ_BINTG_00001_I65346	3.286227868729688	9999.999993583187500	0.000006416812539	SYCTICNF				<EMPTY>					
SYCTIEWK_BINTG_00001_I65346	9.099724833807057	3294.003943879139100	39.326056120860812	SYCTIFD5				<EMPTY>					
SYCTIE9G_BINTG_00001_I65346	9.099620746685192	3294.004908484315800	39.325091515684107	SYCTIG3J				<EMPTY>					
SYCTIE9G_BINTG_00001_I65346	9.976652778325136	9887.055048508085700	112.944951491914250	SYCTIEPD				<EMPTY>					
SYCTIEWK_BINTG_00002_I65346	9.099725267952447	4941.010871160848200	58.989128839151817	SYCTIFD7				<EMPTY>					
SYCTIE9G_BINTG_00002_I65346	9.099621184302889	4941.027363290151700	58.972636709848302	SYCTIG3L				<EMPTY>					
SYCTIEWK_BINTG_LOCOM_I65346	9.099726139716351	1647.006928063561600	19.663071936438428	SYCTIFD6				<EMPTY>					
SYCTIE9G_BINTG_LOCOM_I65346	9.099622056065156	1647.012441683498800	19.657558316501309	SYCTIG3K				<EMPTY>					
SYCTIE9G_BINTG_LOCOM_I65346	6.098562874326582	-9891.416216384750400	-108.583783615249560	SYCTIEPJ				<EMPTY>					
SYCTIEAL_BINTG_00001_I65346	6.904764715569395	-9895.686142780032200	-104.313857219967760	SYCTIFPP				<EMPTY>					
SYCTIEAL_BINTG_00001_I65346	7.761350570664341	9884.389859616610900	115.610140383389080	SYCTIEPU				<EMPTY>					
TACUDQJE_BINTG_00001_I65346	8.584090769738886	239.766010247683880	1760.233989752316100	TACUDQV1				<EMPTY>					
TACUDQ7A_BINTG_00001_I65346	8.584090769738886	243.159786923020870	1756.840213076979100	TACUDQEE				<EMPTY>					
U!CHMX6B_BINTG_00001_I65346				CRCS639H			No lines in the facility	<EMPTY>					
F#CJ66RR_BINTG_00001_I65346	12.356568301126002	3463.039557660738900	6536.960442339261100	F#CJ67E5				<EMPTY>					
U+CI1P4P_BINTG_00001_I65346	10.880426629398867	-539.361752307813730	10539.361752307814000	U+CI1PIG				<EMPTY>					
U+CI1P8C_BINTG_00001_I65346	7.231830438038661	-2106.169865583302500	-7893.830134416697500	(JCRUP7B				<EMPTY>					
U+CI1P8C_BINTG_00001_I65346	7.231370906950098	-2094.564607423992100	-7905.435392576007900	U+CI1PIJ				<EMPTY>					
U+CI1PAR_BINTG_00001_I65346	5.892944923315814	-49314.048466886205000	39314.048466886205000	FPCI4Z6L				<EMPTY>					
U+CI1PCG_BINTG_00001_I65346				FPCI4ZAG			No lines in the facility	<EMPTY>					
U+CI1PCG_BINTG_00001_I65346				U+CI1PIP			No lines in the facility	<EMPTY>					
F#CJ633H_BINTG_00001_I65346	8.688216422091914	3224.239018797874500	6775.760981202125500	F#CJ63K6				<EMPTY>					
F#CJ63LM_BINTG_00001_I65346	7.524357377092740	-3525.326759552233900	-6474.673240447766100	F#CJ642D				<EMPTY>					
U+CI1PE2_BINTG_00001_I65346	6.458472690481952	-17157.474639726584000	7157.474639726584400	FPCI57BE				<EMPTY>					
U+CI1PE2_BINTG_00001_I65346	6.530547968564522	-12396.566020933693000	22396.566020933693000	FPCI57QP				<EMPTY>					
F#CJ64QR_BINTG_00001_I65346	9.000945748583193	8462.910213581519200	1537.089786418480800	F#CJ65MB				<EMPTY>					
F#CJ64QR_BINTG_00001_I65346	6.780315060575176	1417.353578200447400	-11417.353578200447000	F#CJ65PK				<EMPTY>					
U+CI1PU9_BINTG_00001_I65346		-8190.607734806646500	-1809.392265193353500	FCCIRA2T			<20150401>:PureEY@OD: Unable to compute IRR	<EMPTY>					
U+CI1PVC_BINTG_00001_I65346		8207.934336525297100	1792.065663474702900	U+CI2ZP3			<20150401>:PureEY@OD: Unable to compute IRR	<EMPTY>					
