ContractReference	EYAtBSD	AmortizedAPAtBSD	UnamortizedAPAtBSD	AdditionalPaymentID	AsOfAmortizationAdjustment	AsOfAmortizationAdjustmentDate	IASError	ImpairmentEffectiveDate	ImpairmentBucket	ImpairmentApproach	12mEL	LifetimeEL	LossAllowance
X.CW2ITQ_BINTG_00001_I65346	9.276986075463983	55.353252144232101	7321.002842279544000	X.CW2J5P				<EMPTY>					
QECWDWUI_BINTG_00001_I65346	11.513435846034207	-105.948668966740120	4904.052140831332500	*DCWJGZJ				<EMPTY>					
X.CW2IV4_BINTG_00001_I65346	15.432538078599171	-790.032792002632050	31179.716128768254000	X.CW2J5S				<EMPTY>					
X.CW2LHR_BINTG_00001_I65346	11.424495115309146	29.301459077745676	4679.542906930662900	X.CW2MBT				<EMPTY>					
X.CW2IWI_BINTG_00001_I65346	10.031885247694701	37.338271410728339	2261.808359470887800	X.CW2LGN				<EMPTY>					
X.CW2LHR_BINTG_00003_I65346	11.424495115309146	19.534315916785999	3119.695234758626600	X.CW2MBS				<EMPTY>					
X.CW2IWI_BINTG_00003_I65346	10.031884488149856	24.888767568434560	1507.863249955997200	X.CW2LGM				<EMPTY>					
X.CW2IY5_BINTG_00001_I65346	8.964501273654960	38.705409140326083	6216.574979354620200	X.CW2LWE				<EMPTY>					
X.CW2IY5_BINTG_00001_I65346	8.539078382676141	-44.235308132134378	-7634.621604092426400	X.CW2J61				<EMPTY>					
Y?CUOL3Q_BINTG_00001_I65346	-1.562456437898301	-27.325444158468144	-8542.319631431411800	Y?CUOLJ5				<EMPTY>					
Z(CJITR1_BINTG_00001_I65346	6.190242947642481	-66.149042782635661	-1144.038120615034100	9ACNR4G0				<EMPTY>					
Z(CJITR1_BINTG_00001_I65346	6.701541377478177	65.857602738513378	1239.832055279315700	9ACNR4KA				<EMPTY>					
Z(CJITSO_BINTG_00001_I65346	0.777617323718581	-65.470643923356874	-1177.661026016399800	9ACNR3V4				<EMPTY>					
Z(CJITSO_BINTG_00001_I65346	1.260421710511245	65.441354749053971	1179.998866198062400	9ACNR3ZE				<EMPTY>					
Z(CJITUB_BINTG_00001_I65346	6.083979015904623	-45.062539586870116	-766.208250997515280	9ACNR3GH				<EMPTY>					
8@CQBKKA_BINTG_00001_I65346	8.664383160573985	-45.071614032611251	-6521.487214844673900	8@CQBKX9				<EMPTY>					
Z(CJITWI_BINTG_00001_I65346	6.850383183056913	-369.019681272358870	60717.891192508861000	Z(CJIUB6				<EMPTY>					
Z(CJITY5_BINTG_00001_I65346	7.038579176591682	-4.106656174582895	-11246.942353894352000	Z(CJIUB9				<EMPTY>					
9ACNR2YI_BINTG_00001_I65346	10.559129888815898	-20.091458705253899	-227.118551883788310	(GCRURRK				<EMPTY>					
Z(CJITZS_BINTG_00001_I65346	11.086804945736230	114.687175503931940	2211.942052174417800	9ACNR2XM				<EMPTY>					
Z(CJITZS_BINTG_00001_I65346	11.085661308207683	114.395831064321100	2206.668995462416200	Z(CJIUBC				<EMPTY>					
Z1CLWC45_BINTG_00001_I65346				Z1CLWEGH			Matured product	<EMPTY>					
Z1CLWC45_BINTG_00001_I65346				Z1CLWEJR			Matured product	<EMPTY>					
Z1CLWC5S_BINTG_00001_I65346	6.506035497317438	7.505854256589373	8803.633913566427500	Z1CLWD34				<EMPTY>					
Z1CLWC7F_BINTG_00001_I65346	5.698578993021505	-186.422203238384100	-93020.327358633876000	Z1CLWDTI				<EMPTY>					
Z1CLWC7F_BINTG_00001_I65346	4.707737175801690	-450.353621511982060	-69609.946750647054000	Z1CLWDXU				<EMPTY>					
Z1CLWC92_BINTG_00001_I65346	5.823693967667141	-183.883144683626600	14797.434649637318000	Z1CLWD3A				<EMPTY>					
Z1CLWCB9_BINTG_00001_I65346				Z1CLWFZO			Matured product	<EMPTY>					
Z1CX5H0D_BINTG_00001_I65346	-3.628791155245859	-27.773003835896986	-9416.326962978855600	Z1CX5IP4				<EMPTY>					
Z1CX5H1R_BINTG_00001_I65346	6.148656234831992	-4.702889522954308	-9900.826463857934900	Z1CX5IS6				<EMPTY>					
Z1CX5H7U_BINTG_00001_I65346				Z1CX5HH2			No lines in the facility	<EMPTY>					
Z1CX5HAU_BINTG_00001_I65346		5.473453749316833	-10109.469074986317000	Z1CX5I8K			<20150813>:SimpleEY@OD: Unable to compute IRR	<EMPTY>					
